source_center,destination_center,route_type,median_delay_ratio,sla_breach_rate,trip_count,median_distance,median_actual_time,median_osrm_time
IND518002AAA,IND501359AAE,FTL,1.6339712918660287,0.9895833333333334,96,25.9968,31.0,18.0
IND403702AAA,IND575004AAB,FTL,1.7676470588235293,0.96875,96,25.5487,38.0,21.0
IND160102AAC,IND160002AAC,Carting,1.6666666666666667,0.7789473684210526,95,9.9002,14.0,10.0
IND421302AAG,IND401104AAA,Carting,2.4545454545454546,1.0,95,14.4932,28.0,12.0
IND248001AAD,IND131028AAB,Carting,1.75,0.8842105263157894,95,10.1428,18.0,10.0
IND421302AAG,IND400102AAC,Carting,2.2,0.9578947368421052,95,12.8629,26.0,12.0
IND501359AAE,IND518002AAA,FTL,1.4606060606060605,0.9042553191489362,94,25.820549999999997,29.0,18.0
IND573201AAB,IND575004AAB,FTL,2.2857142857142856,1.0,94,29.24405,42.5,20.0
IND177033AAA,IND160002AAC,FTL,1.75,0.8404255319148937,94,26.710050000000003,42.5,24.0
IND501359AAE,IND500010AAB,Carting,2.0,0.946236559139785,93,14.7332,21.0,12.0
IND160002AAC,IND160102AAC,Carting,1.625,0.6956521739130435,92,9.892800000000001,14.0,10.0
IND160002AAC,IND174307AAA,FTL,1.2380952380952381,0.5164835164835165,91,26.5504,32.0,25.0
IND152026AAA,IND000000ACA,FTL,1.875,0.989010989010989,91,23.3123,34.0,20.0
IND400072AAB,IND401104AAA,Carting,2.645833333333333,0.9888888888888889,90,10.353449999999999,22.0,8.0
IND131028AAB,IND136118AAA,FTL,1.861904761904762,1.0,90,22.78165,31.0,16.0
IND723202AAA,IND713205AAB,FTL,1.7633053221288515,0.9333333333333333,90,24.7943,34.5,21.0
IND131028AAB,IND244235AAA,FTL,1.475,0.5777777777777777,90,32.571600000000004,34.0,25.0
IND000000AEL,IND000000ACB,Carting,1.5,0.6888888888888889,90,10.824550000000002,13.0,10.0
IND211002AAB,IND209304AAA,FTL,1.625,0.7555555555555555,90,23.748849999999997,27.0,16.0
IND248001AAA,IND131028AAB,FTL,1.71875,0.8764044943820225,89,25.0337,48.0,27.0
IND244221AAA,IND131028AAB,FTL,1.5238095238095237,0.8314606741573034,89,27.4888,33.0,22.0
IND781018AAB,IND788026AAC,FTL,2.6,0.9887640449438202,89,42.1705,78.0,29.0
IND603301AAA,IND600044AAD,Carting,1.6666666666666667,0.7613636363636364,88,9.78315,10.5,7.0
