source_id,destination_id,source,destination,delay_ratio,breach_rate,trip_count,route_type,median_distance
IND842003AAB,IND484661AAE,Jabalpur_Adhartal_IP (Madhya Pradesh),Umaria_Central_DPP_3 (Madhya Pradesh),1.6842105263157894,0.6,5,FTL,27.323
IND125001AAA,IND110037AAM,Hisar_ModelTwn_P (Haryana),Delhi_Airport_H (Delhi),1.6833333333333333,0.8333333333333334,42,FTL,24.249299999999998
IND573116AAA,IND571432AAB,Channaraya_patna_D (Karnataka),Nagamangala_MandyaRD_D (Karnataka),1.6833333333333333,1.0,14,FTL,29.9741
IND121004AAB,IND000000ACB,FBD_Balabhgarh_DPC (Haryana),Gurgaon_Bilaspur_HB (Haryana),1.6833333333333333,0.975,120,Carting,12.067699999999999
IND562132AAA,IND560058AAD,Bangalore_Nelmngla_H (Karnataka),Bengaluru_Peenya_L (Karnataka),1.6833333333333333,0.7428571428571429,70,Carting,14.4478
IND507111AAA,IND507117AAB,Bhadrachalam_ITDARd_D (Telangana),Manuguru_AskNagar_D (Telangana),1.6832298136645962,0.9230769230769231,26,FTL,18.1657
IND263153AAB,IND244715AAA,Rudrapur_UdhamNgr_H (Uttarakhand),Ramnagar_BhwniGnj_D (Uttarakhand),1.6829268292682926,0.6666666666666666,33,FTL,25.3438
IND573201AAB,IND572201AAB,Hassan_Pandrnga_I (Karnataka),Tiptur_YTRd_D (Karnataka),1.6818181818181819,1.0,12,FTL,24.3601
IND504208AAB,IND505001AAB,Mancherial_Hitech_D (Telangana),Karimnagar_KamnHbRD_I (Telangana),1.68,0.9333333333333333,15,FTL,26.7938
IND421302AAG,IND411033AAA,Bhiwandi_Mankoli_HB (Maharashtra),Pune_Tathawde_H (Maharashtra),1.68,0.856338028169014,355,FTL,26.6442
IND502313AAA,IND503111AAC,Narsapur_Xroad_D (Telangana),Kamareddy_Devenply_I (Telangana),1.68,1.0,15,FTL,26.7458
IND571105AAA,IND571213AAA,Hunsur_RatnaDPP_D (Karnataka),Gonikoppal_Thomas_D (Karnataka),1.6790281329923273,1.0,16,FTL,21.960649999999998
IND695572AAB,IND000000AFJ,Kallikkad_Mutyvila_D (Kerala),Trivandrum_Pettah_D (Kerala),1.6785714285714286,1.0,2,Carting,11.6353
IND411033AAA,IND403726AAA,Pune_Tathawde_H (Maharashtra),Goa_Hub (Goa),1.6785714285714286,0.8507462686567164,335,FTL,28.3468
IND673573AAA,IND673592AAA,Thamarassery_Chungam_D (Kerala),SultnBthry_Kollgpra_D (Kerala),1.678235294117647,1.0,24,FTL,29.7534
IND421302AAG,IND413002AAA,Bhiwandi_Mankoli_HB (Maharashtra),Solapur_Central_I_2 (Maharashtra),1.6774193548387097,0.8761061946902655,113,FTL,25.7825
IND533106AAA,IND533201AAA,Rajamundry_AtoNgrRd_I (Andhra Pradesh),Amalapuram_Vijdurg_D (Andhra Pradesh),1.6774193548387097,0.6666666666666666,3,FTL,33.7766
IND416602AAC,IND411033AAA,Kankavali_NrdawDPP_D (Maharashtra),Pune_Tathawde_H (Maharashtra),1.6754385964912282,0.9024390243902439,82,FTL,24.81745
IND573201AAB,IND573134AAB,Hassan_Pandrnga_I (Karnataka),Sakleshpur_RgvdrDPP_D (Karnataka),1.6754385964912282,1.0,6,FTL,21.5469
IND600056AAB,IND600110AAA,MAA_Poonamallee_HB (Tamil Nadu),Chennai_Madhavaram_L (Tamil Nadu),1.6754385964912282,0.8875,80,Carting,11.2284
IND732138AAA,IND733102AAA,Bamangola_Central_D_1 (West Bengal),Balurghat_AkhirDPP_D (West Bengal),1.6714285714285715,1.0,4,FTL,34.8404
IND403726AAA,IND581400AAB,Goa_Hub (Goa),Mallapur_ShtDRDPP_D (Karnataka),1.666923076923077,0.75,4,FTL,28.4583
IND581115AAC,IND581110AAE,Ranebennur_SriRmNGR_D (Karnataka),Haveri_GuttalRD_D (Karnataka),1.6666666666666667,1.0,52,Carting,8.9704
IND610001AAA,IND614715AAA,Thiruvarur_Bypasrd_D (Tamil Nadu),Thirthurpondi_Madaprum_D (Tamil Nadu),1.6666666666666667,0.9444444444444444,36,Carting,10.86075
IND504293AAA,IND505001AAB,Asifabad_PaikjNGR_D (Telangana),Karimnagar_KamnHbRD_I (Telangana),1.6666666666666667,1.0,15,FTL,26.4483
IND603203AAA,IND600048AAA,Chennai_Potheri (Tamil Nadu),Chennai_Vandalur_Dc (Tamil Nadu),1.6666666666666667,1.0,1,Carting,14.162
IND421302AAG,IND110037AAM,Bhiwandi_Mankoli_HB (Maharashtra),Delhi_Airport_H (Delhi),1.6666666666666667,0.8718309859154929,710,FTL,26.553800000000003
IND000000ACB,IND121004AAB,Gurgaon_Bilaspur_HB (Haryana),FBD_Balabhgarh_DPC (Haryana),1.6666666666666667,0.8888888888888888,135,Carting,11.2424
IND148028AAA,IND147001AAB,Sunam_DC (Punjab),Patiala (Punjab),1.6666666666666667,0.9629629629629629,27,FTL,23.0906
IND121002AAB,IND000000ACB,Faridabad_Mthurard_L (Haryana),Gurgaon_Bilaspur_HB (Haryana),1.6666666666666667,0.8503937007874016,127,Carting,12.3122
IND110044AAB,IND110030AAD,Del_Okhla_PC (Delhi),Delhi_Kishangarh_DPC (Delhi),1.6666666666666667,0.8409090909090909,44,Carting,8.31415
IND500050AAA,IND501218AAC,Patancheru_Ameenpur_I (Telangana),Shamshabad_Lngrguda_D (Telangana),1.6666666666666667,0.8888888888888888,9,Carting,13.0581
IND683565AAA,IND683511AAA,Kunnathund_Pringla_D (Kerala),Aluva_Peedika_H (Kerala),1.6666666666666667,0.8888888888888888,18,Carting,8.10855
IND501359AAE,IND500050AAA,Hyderabad_Shamshbd_H (Telangana),Patancheru_Ameenpur_I (Telangana),1.6666666666666667,0.8703703703703703,54,Carting,9.873550000000002
